1534074740
xxxxxxxxxx	1531750717	1531923911	1532099624	1532272812	1532445771	1532619981	1532794902	1532974310	1533218319	1533392491	1533568811	1533742522	1534000888
89CPYGYGG	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>1<>1400	1<>1<>1400	1<>0<>1120	1<>0<>1120	1<>0<>1400	1<>0<>1400	1<>0<>1400
28UVQQLCU	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>0<>1400	XXXXXXXX	1<>0<>1400	1<>1<>1400	1<>1<>1400	1<>0<>840	1<>0<>1120
PCL2QYP2	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>0<>1120	XXXXXXXX	XXXXXXXX	2<>1<>1680	XXXXXXXX	XXXXXXXX	XXXXXXXX
8UVYU088U	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>0<>1400	1<>1<>1120	1<>1<>840	1<>0<>1680	1<>1<>1400	1<>0<>1400
820222Y2	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>1<>1400	1<>0<>840	1<>1<>1120	2<>2<>840	1<>0<>1400
99YRCQCQ2	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>0<>1400	1<>0<>1400	1<>0<>1400	2<>0<>1120	1<>1<>1120
VYYCYRV8	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>1<>1400	1<>1<>1120	1<>1<>1120	1<>0<>840
9099CJGVP	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>0<>1120	1<>0<>840	1<>1<>840	2<>0<>1400
2RY98CURG	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>0<>1120	1<>0<>1120
UY0UJLQ9	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	2<>0<>1120
8VQ0UR9LR	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>1<>1120
